time(s),current(A)
42.309,19.341
42.33,19.322
42.361,19.372
42.392,19.447
42.423,19.493
42.454,19.499
42.5,19.492
42.546,19.505
42.593,19.54
42.657,19.587
42.722,19.62
42.822,19.669
42.922,19.726
43,19.772
43.001,19.775
43.001,19.781
43.002,19.808
43.003,19.856
43.004,19.928
43.005,20.023
43.006,20.211
43.009,20.678
43.014,21.832
43.018,23.336
43.023,25.093
43.028,27.013
43.032,29.011
43.037,31.009
43.042,32.939
43.046,34.742
43.052,36.722
43.059,38.622
43.065,39.999
43.072,40.837
43.079,41.162
43.086,41.037
43.093,40.546
43.099,39.787
